"","ego_c_output"
"342",0.23080512108072
"343",0.23080512108072
"344",0.23080512108072
"345",0.23080512108072
"346",0.23080512108072
"347",6.21186631748708
"348",0.23080512108072
"349",1.77729166519822
"350",0.23080512108072
"351",0.522192448277418
"352",1.75076908321826
"353",0.522192448277418
"354",0.23080512108072
"355",0.23080512108072
"356",0.23080512108072
"357",0.23080512108072
"358",1.77729166519822
"359",0.23080512108072
"360",1.77729166519822
"361",0.522192448277418
"362",0.522192448277418
"363",0.23080512108072
"364",0.522192448277418
"365",0.23080512108072
"366",0.23080512108072
"367",0.23080512108072
"368",0.23080512108072
"369",0.23080512108072
"370",0.23080512108072
"371",0.23080512108072
"372",0.522192448277418
"373",0.23080512108072
"374",0.23080512108072
"375",0.23080512108072
"376",0.23080512108072
"377",0.522192448277418
"378",0.23080512108072
"379",0.23080512108072
"380",0.23080512108072
"381",0.23080512108072
"382",0.522192448277418
"383",0.522192448277418
"384",0.23080512108072
"385",0.23080512108072
"386",0.23080512108072
"387",0.23080512108072
"388",0.23080512108072
"389",0.23080512108072
"390",0.23080512108072
"391",0.23080512108072
"392",0.23080512108072
"393",0.522192448277418
"394",0.23080512108072
"395",0.23080512108072
"396",0.522192448277418
"397",0.522192448277418
"398",0.522192448277418
"399",0.23080512108072
"400",0.522192448277418
"401",0.23080512108072
"402",0.522192448277418
"403",0.23080512108072
"404",0.23080512108072
"405",0.23080512108072
"406",0.23080512108072
"407",0.522192448277418
"408",0.522192448277418
"409",0.23080512108072
"410",0.23080512108072
"411",0.522192448277418
"412",0.23080512108072
"413",0.23080512108072
"414",0.23080512108072
"415",0.23080512108072
"416",0.522192448277418
"417",0.23080512108072
"418",0.23080512108072
"419",0.23080512108072
"420",0.23080512108072
"421",0.23080512108072
"422",0.23080512108072
"423",0.522192448277418
"424",0.522192448277418
"425",0.522192448277418
"426",0.23080512108072
"427",0.23080512108072
"428",0.23080512108072
"429",0.23080512108072
"430",0.23080512108072
"431",0.23080512108072
"432",0.23080512108072
"433",0.522192448277418
"434",0.522192448277418
"435",0.522192448277418
"436",0.23080512108072
"437",3.24223572040939
"438",0.522192448277418
"439",0.23080512108072
"440",0.23080512108072
"441",0.522192448277418
"442",0.23080512108072
"443",0.23080512108072
"444",0.23080512108072
"445",0.23080512108072
"446",0.522192448277418
"447",0.23080512108072
"448",0.522192448277418
"449",0.23080512108072
"450",0.23080512108072
"451",0.522192448277418
"452",0.23080512108072
"453",0.522192448277418
"454",1.75076908321826
"455",0.23080512108072
"456",0.23080512108072
"457",0.23080512108072
"458",17.8620779099177
"459",0.23080512108072
"460",0.23080512108072
"461",0.23080512108072
"462",0.23080512108072
"463",0.23080512108072
"464",0.522192448277418
"465",1.75076908321826
"466",0.23080512108072
