users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
92,189.6569021,9.993447293,0.006552707,10
153,245.030024,14.97976198,0.020238024,15
163,295.30182,19.99575515,0.00424485,20
201,339.7789647,24.99330943,0.006690566,25
267,382.6266219,29.98940962,0.010590376,30
333,425.1385267,34.97760986,0.022390136,35
398,466.5999678,39.9757235,0.024276496,40
434,495.820495,44.96329628,0.036703721,45
554,521.401792,49.98920837,0.010791626,50
673,546.8700355,54.99911427,0.000885732,55
791,572.1242603,59.96692011,0.033079888,60
910,597.5925038,64.97682601,0.023173994,65
998,638.6727516,69.96746264,0.032537357,70
999,670.671805,74.99099763,0.00900237,75
1000,691.904514,79.98081706,0.019182938,80
1000,695.7662007,83.19435151,1.80564849,85
1000,695.7662007,83.19435151,6.80564849,90
1000,695.7662007,83.19435151,11.80564849,95
1000,695.7662007,83.19435151,16.80564849,100
1000,695.7662007,83.19435151,21.80564849,105
1000,695.7662007,83.19435151,26.80564849,110
1000,695.7662007,83.19435151,31.80564849,115
1000,695.7662007,83.19435151,36.80564849,120
1000,695.7662007,83.19435151,41.80564849,125
1000,695.7662007,83.19435151,46.80564849,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
49,205.4806726,9.981561997,0.018438003,10
114,269.1089222,14.99488712,0.005112882,15
144,322.9579685,19.96090673,0.039093274,20
153,370.2487376,24.96727848,0.032721517,25
169,415.6302882,29.99363324,0.006366762,30
235,458.4779454,34.98973343,0.010266571,35
301,500.9898502,39.97793367,0.022066332,40
366,543.724454,44.95802766,0.041972342,45
426,582.383567,49.95975905,0.040240952,50
511,608.6040223,54.99780162,0.002198378,55
629,633.858247,59.96560747,0.034392534,60
748,659.3264906,64.97551336,0.02448664,65
867,684.7947341,69.98541925,0.014580746,70
986,710.2629777,74.99532515,0.004674852,75
1000,740.9297647,79.98416629,0.015833707,80
1000,759.1896881,84.9559298,0.044070204,85
1000,760.1452322,87.06032993,2.939670074,90
1000,760.1452322,87.06032993,7.939670074,95
1000,760.1452322,87.06032993,12.93967007,100
1000,760.1452322,87.06032993,17.93967007,105
1000,760.1452322,87.06032993,22.93967007,110
1000,760.1452322,87.06032993,27.93967007,115
1000,760.1452322,87.06032993,32.93967007,120
1000,760.1452322,87.06032993,37.93967007,125
1000,760.1452322,87.06032993,42.93967007,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
68,182.383728,9.995739767,0.004260233,10
141,244.2194741,14.96311868,0.036881315,15
159,283.4569519,19.98032891,0.019671092,20
189,328.2460407,24.96113075,0.038869252,25
255,370.8589109,29.97542484,0.024575163,30
321,413.7065681,34.97152503,0.028474973,35
387,456.2573274,39.99935021,0.000649793,40
440,486.4007543,44.97275795,0.027242055,45
559,511.8689979,49.98266384,0.017336161,50
678,537.3372414,54.99256973,0.007430267,55
796,562.5914662,59.96037558,0.039624422,60
915,588.0597097,64.97028147,0.029718528,65
999,629.9593771,69.99140291,0.008597091,70
1000,653.314661,74.97362233,0.026377665,75
1000,665.7982958,79.98033713,0.019662873,80
1000,667.3950463,82.47078465,2.529215349,85
1000,667.3950463,82.47078465,7.529215349,90
1000,667.3950463,82.47078465,12.52921535,95
1000,667.3950463,82.47078465,17.52921535,100
1000,667.3950463,82.47078465,22.52921535,105
1000,667.3950463,82.47078465,27.52921535,110
1000,667.3950463,82.47078465,32.52921535,115
1000,667.3950463,82.47078465,37.52921535,120
1000,667.3950463,82.47078465,42.52921535,125
1000,667.3950463,82.47078465,47.52921535,130
users_served,total_utility_lp,total_cost_lp,budget_left,budget_v
64,196.080243,9.976006441,0.023993559,10
116,256.6140067,14.97494824,0.02505176,15
162,307.1329222,19.97480601,0.025193985,20
178,353.2087238,24.98810917,0.011890834,25
232,396.2895101,29.97727459,0.022725411,30
298,439.1371673,34.97337478,0.026625221,35
364,482.08579,39.99556882,0.004431182,40
424,520.5857577,44.99955266,0.000447336,45
496,546.5812036,49.96510071,0.034899294,50
